filename,width,height,class,xmin,ymin,xmax,ymax
1#01AAS545#05062020#104312.jpg,212,37,car plate,824,639,1036,676
1#01ACB811#06062020#032814.jpg,201,33,car plate,794,623,995,656
1#01AEE23#07062020#141248.jpg,136,27,car plate,477,596,613,623
1#01AU833#08062020#142446.jpg,156,25,car plate,522,601,678,626
1#01AZJ34#06062020#032800.jpg,211,34,car plate,750,598,961,632
1#01BAL01#06062020#002929.jpg,208,33,car plate,724,584,932,617
1#01BKA89#07062020#122513.jpg,121,27,car plate,477,601,598,628
1#01BM391#03062020#130019 .jpg,197,37,car plate,525,565,722,602
1#01EGV17#06062020#000638.jpg,232,38,car plate,723,622,955,660
1#01EMB16#06062020#032820.jpg,205,34,car plate,620,576,825,610
1#01GM781#03062020#125232 .jpg,205,37,car plate,641,589,846,626
1#01JS776#03062020#165552.jpg,134,27,car plate,758,569,892,596
1#01LC033#03062020#124251 .jpg,198,33,car plate,400,580,598,613
1#01SR010#08062020#015730.jpg,130,26,car plate,668,566,798,592
1#01SR010#08062020#071431.jpg,130,25,car plate,668,566,798,591
1#01V9104#08062020#050207.jpg,144,26,car plate,697,617,841,643
1#01YS031#08062020#135536.jpg,150,24,car plate,723,571,873,595
1#02AAY389#07062020#152413.jpg,81,25,car plate,658,579,739,604
1#02FL632#03062020#165322.jpg,135,33,car plate,440,613,575,646
1#02ZA240#03062020#171314.jpg,167,26,car plate,589,587,756,613
1#03AAD05#08062020#011024.jpg,142,25,car plate,1008,624,1150,649
1#03AAD05#08062020#062725.jpg,142,26,car plate,1008,623,1150,649
1#03AAD361#07062020#134206.jpg,104,25,car plate,527,603,631,628
1#03AAE171#07062020#142357.jpg,95,27,car plate,503,609,598,636
1#03AAE762#08062020#064053.jpg,72,25,car plate,674,621,746,646
1#03AAG315#08062020#145318.jpg,156,29,car plate,1003,658,1159,687
1#03AAH950#08062020#032612.jpg,134,26,car plate,604,584,738,610
1#03AAP280#08062020#054549.jpg,134,26,car plate,735,622,869,648
1#03AAP284#08062020#053647.jpg,83,24,car plate,672,628,755,652
1#03AAP467#08062020#025356.jpg,141,26,car plate,679,609,820,635
1#03AAT455#07062020#121209.jpg,133,29,car plate,679,609,812,638
1#03AAU362#08062020#201948.jpg,156,24,car plate,793,625,949,649
1#03AAV362#08062020#205751.jpg,162,28,car plate,494,556,656,584
1#03AAV502#08062020#043420.jpg,142,25,car plate,900,611,1042,636
1#03AAY997#07062020#153805.jpg,135,28,car plate,631,617,766,645
1#03AB485#07062020#195721.jpg,91,24,car plate,1100,613,1191,637
1#03ABD265#08062020#210003.jpg,145,23,car plate,682,526,827,549
1#03ABE515#07062020#112842.jpg,135,26,car plate,760,593,895,619
1#03ABE727#08062020#052053.jpg,135,29,car plate,642,605,777,634
1#03ABG246#07062020#150029.jpg,135,26,car plate,575,614,710,640
1#03ABH068#07062020#132349.jpg,131,27,car plate,600,609,731,636
1#03ABH208#08062020#044621.jpg,140,25,car plate,650,604,790,629
1#03ABL167#07062020#025024.jpg,88,23,car plate,100,596,188,619
1#03ABP529#08062020#052857.jpg,50,23,car plate,498,565,548,588
1#03ABR344#07062020#213525.jpg,88,20,car plate,811,595,899,615
1#03ABS096#08062020#172105.jpg,150,26,car plate,530,554,680,580
1#03ABS096#08062020#191107.jpg,156,27,car plate,525,600,681,627
1#03ABS59#08062020#062413.jpg,134,25,car plate,766,597,900,622
1#03ABS658#07062020#123221.jpg,120,26,car plate,615,624,735,650
1#03ABT574#07062020#112647.jpg,129,26,car plate,888,567,1017,593
1#03ABT667#08062020#133013.jpg,140,27,car plate,985,510,1125,537
1#03ABU414#08062020#041259.jpg,78,25,car plate,756,576,834,601
1#03ABU583#07062020#135613.jpg,131,27,car plate,591,582,722,609
1#03AS957#07062020#173336.jpg,126,24,car plate,601,617,727,641
1#03AT505#08062020#040117.jpg,135,27,car plate,246,591,381,618
1#03AV118#08062020#053637.jpg,115,25,car plate,531,548,646,573
1#03BA083#08062020#132308.jpg,140,24,car plate,706,477,846,501
1#03BA543#08062020#141554.jpg,151,25,car plate,479,618,630,643
1#03BB130#08062020#202806.jpg,156,27,car plate,635,621,791,648
1#03BC073#08062020#201247.jpg,148,26,car plate,547,575,695,601
1#03BE490#08062020#042035.jpg,130,26,car plate,667,563,797,589
1#03BFP989#05062020#104324.jpg,166,28,car plate,711,485,877,513
1#03BG745#07062020#132431.jpg,133,27,car plate,531,606,664,633
1#03BG954#07062020#123259.jpg,134,27,car plate,532,620,666,647
1#03BN222#07062020#155737.jpg,137,25,car plate,918,618,1055,643
1#03BR003#07062020#120129.jpg,136,26,car plate,549,598,685,624
1#03BR409#07062020#112811.jpg,104,26,car plate,745,592,849,618
1#03BS045#08062020#201459.jpg,150,26,car plate,679,598,829,624
1#03BT905#07062020#131907.jpg,142,27,car plate,715,620,857,647
1#03DL725#08062020#054349.jpg,132,24,car plate,635,584,767,608
1#03DN095#08062020#140744.jpg,148,26,car plate,625,562,773,588
1#03DR172#05062020#104056.jpg,199,34,car plate,790,576,989,610
1#03DR359#08062020#013200.jpg,135,26,car plate,510,592,645,618
1#03DR359#08062020#064901.jpg,133,26,car plate,505,550,638,576
1#03DR435#07062020#113008.jpg,110,26,car plate,365,605,475,631
1#03DR587#08062020#203506.jpg,150,26,car plate,626,648,776,674
1#03EA757#07062020#120006.jpg,137,26,car plate,513,612,650,638
1#03ED197#07062020#120521.jpg,132,27,car plate,505,572,637,599
1#03ED197#07062020#120737.jpg,135,26,car plate,510,605,645,631
1#03EF013#07062020#160513.jpg,82,24,car plate,721,588,803,612
1#03EH750#07062020#211455.jpg,83,23,car plate,95,615,178,638
1#03EK162#08062020#022640.jpg,136,27,car plate,495,620,631,647
1#03EK162#08062020#074341.jpg,135,27,car plate,495,620,630,647
1#03EK202#08062020#023300.jpg,86,24,car plate,649,592,735,616
1#03EK202#08062020#075000.jpg,72,24,car plate,662,592,734,616
1#03EP202#07062020#034300.jpg,92,23,car plate,548,590,640,613
1#03ER023#07062020#160427.jpg,103,24,car plate,944,564,1047,588
1#03FS735#08062020#052522.jpg,133,25,car plate,836,573,969,598
1#03HB538#08062020#194332.jpg,150,24,car plate,700,566,850,590
1#03HE346#07062020#181129.jpg,120,24,car plate,267,626,387,650
1#03HS582#07062020#172334.jpg,134,25,car plate,417,561,551,586
1#03HS582#07062020#221033.jpg,134,25,car plate,417,561,551,586
1#03KK528#08062020#013244.jpg,78,24,car plate,566,579,644,603
1#03KK528#08062020#064944.jpg,95,25,car plate,570,610,665,635
1#03L1848#07062020#154250.jpg,76,25,car plate,756,613,832,638
1#03NH713#03062020#124929 .jpg,192,28,car plate,411,550,603,578
1#03RA626#07062020#135824.jpg,144,27,car plate,690,625,834,652
1#03RD621#08062020#195744.jpg,137,24,car plate,595,469,732,493
1#03SL149#08062020#150506.jpg,159,25,car plate,968,663,1127,688
1#03UA172#08062020#025642.jpg,132,26,car plate,683,584,815,610
1#03UF777#08062020#042208.jpg,136,26,car plate,611,591,747,617
1#03UN206#08062020#025620.jpg,75,24,car plate,684,613,759,637
1#03UN348#08062020#034207.jpg,133,26,car plate,651,604,784,630
1#03UN499#07062020#122800.jpg,141,29,car plate,699,624,840,653
1#03UY051#08062020#205015.jpg,147,26,car plate,709,533,856,559
1#03VR1828#07062020#113450.jpg,127,24,car plate,573,604,700,628
1#03VS148#08062020#205204.jpg,144,25,car plate,736,529,880,554
1#03VV246#08062020#013201.jpg,118,25,car plate,677,589,795,614
1#03VY166#08062020#052058.jpg,53,24,car plate,642,577,695,601
1#03VY600#08062020#022618.jpg,135,26,car plate,656,592,791,618
1#03VY600#08062020#074319.jpg,130,24,car plate,644,530,774,554
1#03VY652#08062020#143406.jpg,153,26,car plate,735,605,888,631
1#03VZ606#07062020#154113.jpg,143,26,car plate,704,619,847,645
1#03YC204#08062020#131253.jpg,157,25,car plate,739,626,896,651
1#03ZB377#08062020#020412.jpg,83,25,car plate,508,555,591,580
1#03ZB377#08062020#072112.jpg,131,28,car plate,467,590,598,618
1#042FDD90#07062020#115610.jpg,125,26,car plate,537,616,662,642
1#04DJB38#08062020#151106.jpg,153,26,car plate,658,631,811,657
1#04TDV39#08062020#040339.jpg,134,26,car plate,617,586,751,612
1#05DM709#06062020#000339.jpg,209,34,car plate,767,623,976,657
1#05DN732#07062020#141305.jpg,134,25,car plate,704,579,838,604
1#05DU383#08062020#054940.jpg,137,28,car plate,436,608,573,636
1#05DU383#08062020#131651.jpg,153,25,car plate,509,608,662,633
1#05ES627#08062020#024344.jpg,100,26,car plate,462,611,562,637
1#05HK382#05062020#103244.jpg,213,32,car plate,631,629,844,661
1#05LA188#08062020#134818.jpg,150,23,car plate,469,564,619,587
1#05LS488#06062020#025259.jpg,192,27,car plate,858,623,1050,650
1#05VHB18#06062020#030629.jpg,197,29,car plate,726,564,923,593
1#05VHB18#06062020#140606.jpg,197,28,car plate,664,572,861,600
1#06A4554#03062020#165350.jpg,140,29,car plate,675,631,815,660
1#06AAC471#05062020#103855.jpg,198,32,car plate,681,577,879,609
1#06AAC471#05062020#120510.jpg,145,27,car plate,443,595,588,622
1#06AAD013#06062020#000451.jpg,181,29,car plate,773,514,954,543
1#06AAE436#06062020#033934.jpg,218,34,car plate,588,622,806,656
1#06AAG648#06062020#033013.jpg,197,33,car plate,794,574,991,607
1#06AAG947#07062020#150430.jpg,136,26,car plate,590,606,726,632
1#06AAN842#03062020#012159 .jpg,164,27,car plate,514,628,678,655
1#06AAZ63#05062020#103834.jpg,217,36,car plate,683,626,900,662
1#06AB2559#05062020#234215.jpg,212,29,car plate,600,588,812,617
1#06AB2559#06062020#030126.jpg,195,32,car plate,640,512,835,544
1#06AB2559#06062020#140901.jpg,217,36,car plate,689,606,906,642
1#06AB7682#06062020#033043.jpg,202,33,car plate,813,595,1015,628
1#06AB9618#05062020#132402.jpg,150,28,car plate,507,626,657,654
1#06ABG324#06062020#142148.jpg,202,34,car plate,698,596,900,630
1#06ABN306#06062020#002809.jpg,200,33,car plate,706,563,906,596
1#06ABR142#07062020#122150.jpg,94,23,car plate,782,576,876,599
1#06ABT782#06062020#001944.jpg,193,32,car plate,727,563,920,595
1#06ABU06#06062020#032312.jpg,226,38,car plate,779,599,1005,637
1#06ABY542#05062020#105904.jpg,175,29,car plate,648,463,823,492
1#06ABY542#05062020#235128.jpg,217,34,car plate,656,618,873,652
1#06ABY581#06062020#031936.jpg,191,34,car plate,789,514,980,548
1#06ABZ254#03062020#003746 .jpg,164,29,car plate,432,626,596,655
1#06AC3901#06062020#000158.jpg,185,29,car plate,722,582,907,611
1#06AC7461#08062020#040254.jpg,134,25,car plate,543,575,677,600
1#06AC7461#08062020#142318.jpg,153,26,car plate,418,597,571,623
1#06AC9292#06062020#141516.jpg,199,36,car plate,810,557,1009,593
1#06ACB401#06062020#033420.jpg,186,33,car plate,828,582,1014,615
1#06ACE885#06062020#031857.jpg,199,29,car plate,595,552,794,581
1#06ACG438#06062020#033521.jpg,186,28,car plate,683,491,869,519
1#06ACG478#03062020#124127 .jpg,207,41,car plate,698,616,905,657
1#06ACH242#05062020#104451.jpg,183,28,car plate,844,516,1027,544
1#06ACL320#06062020#001345.jpg,207,33,car plate,737,608,944,641
1#06ACN516#03062020#132442 .jpg,183,33,car plate,553,564,736,597
1#06ACN516#03062020#134420 .jpg,189,32,car plate,547,598,736,630
1#06ACN703#06062020#001915.jpg,212,35,car plate,755,627,967,662
1#06ACN767#05062020#104940.jpg,202,34,car plate,713,584,915,618
1#06ACS599#08062020#043737.jpg,132,28,car plate,456,585,588,613
1#06AD4001#08062020#201201.jpg,153,26,car plate,306,655,459,681
1#06AD6869#05062020#100313.jpg,193,28,car plate,776,554,969,582
1#06AD6869#06062020#031325.jpg,211,33,car plate,756,615,967,648
1#06ADD892#06062020#013305.jpg,195,33,car plate,381,590,576,623
1#06ADE969#05062020#105016.jpg,181,28,car plate,743,503,924,531
1#06ADF613#08062020#060428.jpg,137,27,car plate,568,594,705,621
1#06ADG996#06062020#122629.jpg,161,27,car plate,434,634,595,661
1#06ADG996#06062020#142608.jpg,212,33,car plate,720,588,932,621
1#06ADP803#06062020#000352.jpg,191,32,car plate,755,562,946,594
1#06ADR603#06062020#033100.jpg,205,33,car plate,785,590,990,623
1#06ADT44#05062020#110236.jpg,172,26,car plate,719,454,891,480
1#06AEC97#08062020#132925.jpg,151,26,car plate,531,572,682,598
1#06AEG573#06062020#001135.jpg,191,29,car plate,626,538,817,567
1#06AEP733#06062020#033517.jpg,195,29,car plate,651,524,846,553
1#06AES509#06062020#032651.jpg,201,32,car plate,709,586,910,618
1#06AEV358#06062020#032913.jpg,192,29,car plate,667,530,859,559
1#06AEY920#05062020#104334.jpg,177,28,car plate,798,508,975,536
1#06AF0652#08062020#200327.jpg,150,27,car plate,659,567,809,594
1#06AF6383#05062020#102836.jpg,208,35,car plate,759,605,967,640
1#06AF6552#03062020#165449.jpg,128,27,car plate,519,481,647,508
1#06AFF637#06062020#033911.jpg,197,33,car plate,678,579,875,612
1#06AFF870#05062020#104538.jpg,151,25,car plate,713,428,864,453
1#06AFN799#06062020#001315.jpg,202,33,car plate,783,591,985,624
1#06AFP944#05062020#105653.jpg,189,28,car plate,809,545,998,573
1#06AFU14#06062020#002109.jpg,215,33,car plate,707,611,922,644
1#06AFZ690#06062020#033511.jpg,198,32,car plate,661,588,859,620
1#06AG0933#06062020#030658.jpg,202,29,car plate,794,583,996,612
1#06AG1432#03062020#130057 .jpg,207,32,car plate,752,598,959,630
1#06AG9311#08062020#060153.jpg,130,27,car plate,425,558,555,585
1#06AGB220#08062020#040710.jpg,137,25,car plate,677,596,814,621
1#06AGB599#05062020#142548.jpg,158,25,car plate,407,481,565,506
1#06AGB599#06062020#002014.jpg,207,32,car plate,650,603,857,635
1#06AGB72#05062020#105746.jpg,218,35,car plate,750,589,968,624
1#06AGD291#06062020#142238.jpg,212,35,car plate,767,600,979,635
1#06AGD430#05062020#103359.jpg,208,33,car plate,768,625,976,658
1#06AGJ144#06062020#000631.jpg,194,29,car plate,853,540,1047,569
1#06AGS661#06062020#001533.jpg,184,32,car plate,874,501,1058,533
1#06AIL11#03062020#185904.jpg,189,32,car plate,521,578,710,610
1#06AIT62#06062020#000119.jpg,201,34,car plate,695,565,896,599
1#06AJ0178#03062020#125245 .jpg,202,38,car plate,602,598,804,636
1#06AK251#05062020#103817.jpg,200,33,car plate,741,613,941,646
1#06AK7144#05062020#202446.jpg,102,23,car plate,574,617,676,640
1#06AK7144#06062020#000354.jpg,207,34,car plate,734,618,941,652
1#06AK7144#06062020#013451.jpg,180,32,car plate,397,602,577,634
1#06AL0725#08062020#193457.jpg,156,26,car plate,654,626,810,652
1#06AL4368#05062020#110104.jpg,199,32,car plate,599,615,798,647
1#06ALY74#05062020#132637.jpg,91,24,car plate,456,570,547,594
1#06ALY74#05062020#144006.jpg,165,25,car plate,425,494,590,519
1#06AN3013#06062020#001054.jpg,200,32,car plate,722,583,922,615
1#06AN3383#08062020#191550.jpg,161,27,car plate,466,663,627,690
1#06AN5394#05062020#105337.jpg,201,32,car plate,739,570,940,602
1#06AN5819#06062020#002248.jpg,197,29,car plate,734,549,931,578
1#06AP0138#05062020#104341.jpg,215,34,car plate,663,578,878,612
1#06AP0855#08062020#044148.jpg,50,23,car plate,669,566,719,589
1#06APN61#06062020#142440.jpg,201,35,car plate,773,585,974,620
1#06AR7219#05062020#105217.jpg,176,29,car plate,902,534,1078,563
1#06AR7442#05062020#100435.jpg,190,29,car plate,660,526,850,555
1#06AR7832#06062020#032609.jpg,196,32,car plate,782,596,978,628
1#06AS3169#06062020#143101.jpg,210,34,car plate,628,611,838,645
1#06AS4369#08062020#044844.jpg,136,26,car plate,675,610,811,636
1#06AS6444#05062020#233711.jpg,209,34,car plate,687,624,896,658
1#06AS692#05062020#110848.jpg,205,34,car plate,763,596,968,630
1#06AS7679#06062020#002235.jpg,217,35,car plate,718,602,935,637
1#06ASU52#06062020#001141.jpg,202,33,car plate,782,604,984,637
1#06AT0471#05062020#110444.jpg,197,33,car plate,700,567,897,600
1#06AT1711#06062020#034537.jpg,197,32,car plate,746,586,943,618
1#06AT4079#03062020#125537 .jpg,197,33,car plate,573,558,770,591
1#06AT9617#07062020#160924.jpg,119,26,car plate,556,610,675,636
1#06AT9617#08062020#014405.jpg,48,23,car plate,632,568,680,591
1#06AT9617#08062020#070105.jpg,48,24,car plate,632,567,680,591
1#06AT9617#08062020#132521.jpg,150,25,car plate,671,599,821,624
1#06AT9617#08062020#191246.jpg,148,26,car plate,603,584,751,610
1#06AU6666#05062020#234545.jpg,126,23,car plate,676,386,802,409
1#06AU6666#06062020#141046.jpg,200,34,car plate,699,588,899,622
1#06AV1565#06062020#033906.jpg,200,29,car plate,730,602,930,631
1#06AV4385#05062020#233652.jpg,199,34,car plate,856,587,1055,621
1#06AV4385#06062020#025252.jpg,206,36,car plate,748,595,954,631
1#06AYG46#05062020#104007.jpg,207,34,car plate,749,628,956,662
1#06AYL20#06062020#002026.jpg,199,33,car plate,835,627,1034,660
1#06AZ4293#06062020#002021.jpg,199,29,car plate,834,582,1033,611
1#06AZ4867#06062020#000237.jpg,206,32,car plate,668,531,874,563
1#06AZ9997#06062020#142245.jpg,207,32,car plate,774,622,981,654
1#06BA2226#06062020#022508.jpg,135,27,car plate,390,604,525,631
1#06BA2226#06062020#111514.jpg,182,32,car plate,394,595,576,627
1#06BA2710#06062020#001215.jpg,212,32,car plate,714,617,926,649
1#06BA4313#05062020#105401.jpg,190,29,car plate,851,564,1041,593
1#06BA7253#08062020#143140.jpg,156,27,car plate,664,602,820,629
1#06BA8698#06062020#142901.jpg,215,35,car plate,597,563,812,598
1#06BAH315#05062020#144414.jpg,169,28,car plate,464,519,633,547
1#06BAH841#08062020#041053.jpg,136,29,car plate,519,624,655,653
1#06BB3510#06062020#000805.jpg,200,29,car plate,778,621,978,650
1#06BB3823#03062020#124906 .jpg,198,36,car plate,573,612,771,648
1#06BBY854#06062020#031211.jpg,206,33,car plate,763,602,969,635
1#06BC3136#06062020#030830.jpg,199,34,car plate,812,608,1011,642
1#06BC3308#06062020#001745.jpg,205,33,car plate,696,603,901,636
1#06BC3592#05062020#141002.jpg,157,26,car plate,493,428,650,454
1#06BC4432#06062020#135307.jpg,185,29,car plate,813,531,998,560
1#06BCA278#06062020#135143.jpg,202,33,car plate,603,573,805,606
1#06BCF115#05062020#104533.jpg,202,32,car plate,749,636,951,668
1#06BCG066#06062020#002549.jpg,185,32,car plate,846,524,1031,556
1#06BCJ939#06062020#002218.jpg,214,34,car plate,662,632,876,666
1#06BCL246#07062020#123033.jpg,133,26,car plate,600,609,733,635
1#06BCP586#06062020#142535.jpg,213,32,car plate,444,625,657,657
1#06BCR215#05062020#235502.jpg,195,33,car plate,851,549,1046,582
1#06BCR215#05062020#235520.jpg,208,34,car plate,853,607,1061,641
1#06BCR215#05062020#235600.jpg,200,32,car plate,852,577,1052,609
1#06BCR834#05062020#101156.jpg,164,25,car plate,670,443,834,468
1#06BCR834#06062020#002501.jpg,206,32,car plate,688,571,894,603
1#06BCR834#06062020#141106.jpg,210,33,car plate,625,586,835,619
1#06BCT537#06062020#033708.jpg,202,34,car plate,742,596,944,630
1#06BCU242#06062020#000746.jpg,208,34,car plate,646,615,854,649
1#06BCV002#07062020#141412.jpg,137,28,car plate,570,610,707,638
1#06BCZ553#06062020#033720.jpg,207,32,car plate,769,604,976,636
1#06BCZ848#06062020#001854.jpg,185,32,car plate,811,580,996,612
1#06BD0770#08062020#033050.jpg,65,23,car plate,598,583,663,606
1#06BD0770#08062020#142925.jpg,157,27,car plate,734,627,891,654
1#06BD2506#06062020#142530.jpg,191,32,car plate,728,549,919,581
1#06BDE657#05062020#110724.jpg,180,29,car plate,694,533,874,562
1#06BDG074#06062020#142523.jpg,200,29,car plate,780,581,980,610
1#06BDH152#05062020#102411.jpg,178,32,car plate,840,508,1018,540
1#06BDH152#06062020#030958.jpg,192,33,car plate,783,554,975,587
1#06BDH152#06062020#142736.jpg,193,33,car plate,733,546,926,579
1#06BDH523#07062020#124353.jpg,136,27,car plate,634,602,770,629
1#06BDJ913#05062020#103943.jpg,202,35,car plate,686,614,888,649
1#06BDL131#05062020#235931.jpg,195,29,car plate,672,551,867,580
1#06BDM767#06062020#033106.jpg,192,29,car plate,747,532,939,561
1#06BDS311#06062020#033857.jpg,210,33,car plate,869,622,1079,655
1#06BDZ558#06062020#031235.jpg,193,29,car plate,761,575,954,604
1#06BEK036#05062020#102501.jpg,206,34,car plate,851,620,1057,654
1#06BEK797#05062020#110124.jpg,186,28,car plate,700,573,886,601
1#06BEV826#06062020#142717.jpg,181,28,car plate,698,489,879,517
1#06BEY172#05062020#235403.jpg,202,29,car plate,689,613,891,642
1#06BEY172#06062020#031440.jpg,200,33,car plate,677,600,877,633
1#06BEY928#07062020#135120.jpg,39,24,car plate,669,590,708,614
1#06BF5515#08062020#134032.jpg,153,27,car plate,603,588,756,615
1#06BFB646#08062020#203555.jpg,151,27,car plate,688,589,839,616
1#06BFD644#05062020#101515.jpg,218,34,car plate,647,644,865,678
1#06BFE647#06062020#030713.jpg,201,33,car plate,757,584,958,617
1#06BFN257#07062020#134029.jpg,134,27,car plate,553,564,687,591
1#06BFN257#08062020#131254.jpg,159,27,car plate,680,620,839,647
1#06BFS161#07062020#031304.jpg,62,24,car plate,624,584,686,608
1#06BFY359#06062020#002706.jpg,200,29,car plate,814,565,1014,594
1#06BFY493#06062020#142909.jpg,201,33,car plate,614,562,815,595
1#06BG6625#05062020#105119.jpg,212,34,car plate,642,585,854,619
1#06BG9870#06062020#033959.jpg,221,36,car plate,705,620,926,656
1#06BGA979#06062020#025715.jpg,208,35,car plate,660,584,868,619
1#06BGE683#06062020#033535.jpg,193,29,car plate,624,589,817,618
1#06BGJ447#06062020#002716.jpg,208,29,car plate,771,589,979,618
1#06BGJ686#06062020#111154.jpg,176,28,car plate,408,600,584,628
1#06BGT896#05062020#114239.jpg,159,27,car plate,438,650,597,677
1#06BGT896#05062020#134225.jpg,167,27,car plate,244,545,411,572
1#06BGT934#06062020#143603.jpg,185,33,car plate,847,524,1032,557
1#06BHD832#06062020#001323.jpg,202,34,car plate,919,619,1121,653
1#06BHF169#06062020#143402.jpg,218,35,car plate,807,633,1025,668
1#06BHG991#06062020#142855.jpg,194,34,car plate,752,549,946,583
1#06BHS456#05062020#105248.jpg,183,28,car plate,862,577,1045,605
1#06BHT619#06062020#001612.jpg,186,32,car plate,687,494,873,526
1#06BHZ358#06062020#000521.jpg,195,32,car plate,820,545,1015,577
1#06BID171#06062020#034214.jpg,207,32,car plate,636,623,843,655
1#06BIK281#05062020#110051.jpg,166,27,car plate,758,454,924,481
1#06BIS833#08062020#043857.jpg,143,26,car plate,692,612,835,638
1#06BIS833#08062020#141048.jpg,159,27,car plate,912,604,1071,631
1#06BJ6724#08062020#194433.jpg,152,27,car plate,404,578,556,605
1#06BJ7860#08062020#040658.jpg,136,27,car plate,659,607,795,634
1#06BJ8611#06062020#031919.jpg,180,27,car plate,838,544,1018,571
1#06BJR958#08062020#194726.jpg,160,27,car plate,460,652,620,679
1#06BK1253#06062020#000704.jpg,212,32,car plate,741,618,953,650
1#06BK1936#06062020#142417.jpg,210,34,car plate,779,628,989,662
1#06BK2507#08062020#200955.jpg,151,26,car plate,607,570,758,596
1#06BK3417#07062020#035233.jpg,78,23,car plate,632,539,710,562
1#06BK7226#06062020#000546.jpg,196,29,car plate,664,572,860,601
1#06BKC010#06062020#033129.jpg,176,27,car plate,735,532,911,559
1#06BKE442#06062020#001232.jpg,196,33,car plate,738,568,934,601
1#06BKF118#05062020#203250.jpg,152,26,car plate,408,618,560,644
1#06BKK438#08062020#054549.jpg,130,25,car plate,463,541,593,566
1#06BKL144#07062020#162715.jpg,142,26,car plate,786,614,928,640
1#06BL0460#05062020#103015.jpg,186,33,car plate,722,515,908,548
1#06BL0460#05062020#235154.jpg,182,29,car plate,659,493,841,522
1#06BL0460#06062020#141907.jpg,207,34,car plate,724,586,931,620
1#06BL1782#05062020#104912.jpg,195,34,car plate,708,546,903,580
1#06BL5183#06062020#142702.jpg,210,36,car plate,622,602,832,638
1#06BL5480#05062020#110107.jpg,202,32,car plate,653,573,855,605
1#06BL6484#05062020#102941.jpg,160,26,car plate,688,420,848,446
1#06BL6484#05062020#235443.jpg,215,34,car plate,508,605,723,639
1#06BL6484#06062020#031458.jpg,218,35,car plate,480,622,698,657
1#06BL6606#05062020#102444.jpg,192,27,car plate,747,570,939,597
1#06BL6606#05062020#235004.jpg,200,29,car plate,673,599,873,628
1#06BLH870#06062020#001505.jpg,190,32,car plate,829,587,1019,619
1#06BLL39#03062020#165308.jpg,137,32,car plate,620,630,757,662
1#06BLM288#06062020#143636.jpg,196,32,car plate,819,571,1015,603
1#06BLY47#03062020#165153.jpg,136,35,car plate,565,605,701,640
1#06BM1842#06062020#001048.jpg,209,32,car plate,722,628,931,660
1#06BM2576#05062020#110906.jpg,199,32,car plate,745,594,944,626
1#06BME617#06062020#143307.jpg,199,34,car plate,721,565,920,599
1#06BMF202#05062020#233550.jpg,205,33,car plate,688,608,893,641
1#06BMJ521#08062020#050708.jpg,134,27,car plate,570,595,704,622
1#06BMK942#07062020#154720.jpg,53,24,car plate,468,536,521,560
1#06BMZ63#06062020#030119.jpg,194,29,car plate,845,614,1039,643
1#06BMZ63#06062020#030840.jpg,181,29,car plate,753,551,934,580
1#06BN1161#05062020#104138.jpg,178,28,car plate,891,523,1069,551
1#06BN1250#07062020#131414.jpg,134,27,car plate,491,577,625,604
1#06BN2760#05062020#101733.jpg,185,27,car plate,775,522,960,549
1#06BN2760#06062020#025121.jpg,213,34,car plate,713,616,926,650
1#06BN2760#06062020#135706.jpg,196,29,car plate,772,561,968,590
1#06BN6693#06062020#024832.jpg,199,29,car plate,747,561,946,590
1#06BNA909#05062020#110431.jpg,182,29,car plate,708,517,890,546
1#06BNB648#07062020#032429.jpg,114,26,car plate,20,580,134,606
1#06BNB842#06062020#143339.jpg,213,35,car plate,575,608,788,643
1#06BNC854#05062020#104902.jpg,186,32,car plate,821,510,1007,542
